Employee_Name,EmpID,MarriedID,DeptID,PayRate,PositionID,Position,State,DOB,Sex,DateofHire,Department
"Petrowsky, Thelma",1108027853,1,3,42.75,9,Data Analyst,MA,9/16/1984,F,11/10/2014,IT/IS
"Roby, Lori ",1407068885,1,3,39.55,9,Data Analyst,MA,10/11/1981,F,2/16/2015,IT/IS
"Rogers, Ivan",1203032255,1,3,42.2,9,Data Analyst,MA,8/26/1986,M ,3/30/2015,IT/IS
"Salter, Jason",1111030148,0,3,45,9,Data Analyst ,MA,12/17/1987,M ,1/5/2015,IT/IS
"Simard, Kramer",808010278,1,3,30.2,9,Data Analyst,MA,2/8/1970,M ,1/5/2015,IT/IS
"Zhou, Julia",1110029732,0,3,31.4,9,Data Analyst,MA,2/24/1979,F,3/30/2015,IT/IS
"Bramante, Elisa",1006020066,0,5,60,10,Director of Operations,MA,3/19/1983,F,1/5/2009,Production       
"Houlihan, Debra",1009021646,1,6,60,11,Director of Sales,RI,3/17/1966,F,5/5/2014,Sales
"Foss, Jason",1192991000,0,3,65,12,IT Director,MA,7/5/1980,M ,4/15/2011,IT/IS
"Roup,Simon",1106026933,0,3,62,13,IT Manager - DB,MA,4/5/1973,M ,1/20/2013,IT/IS
"Ruiz, Ricardo",1001175250,0,3,21,13,IT Manager - DB,MA,1/4/1964,M ,1/9/2012,IT/IS
"Monroe, Peter",1011022863,1,3,63,13,IT Manager - Infra,MA,10/5/1986,M ,2/15/2012,IT/IS
"Dougall, Eric",1101023754,0,3,64,13,IT Manager - Support,MA,7/9/1970,M ,1/5/2014,IT/IS
"Clayton, Rick",1301052902,0,3,28.99,14,IT Support,MA,9/5/1985,M ,9/5/2012,IT/IS
"Galia, Lisa",1501072093,0,3,31.4,14,IT Support,CT,7/6/1968,F,5/1/2010,IT/IS
"Lindsay, Leonara ",602000312,0,3,26,14,IT Support,CT,10/5/1988,F,1/21/2011,IT/IS
"Soto, Julia ",1203032263,1,3,27.49,14,IT Support,MA,3/12/1973,F,6/10/2011,IT/IS
"Bacong, Alejandro ",1212052023,0,3,45,14,IT Support,MA,1/7/1988,M ,1/5/2015,IT/IS
"Cisco, Anthony",1102024173,1,3,42,14,IT Support,MA,11/24/1989,M ,3/30/2015,IT/IS
"Dolan, Linda",1101023540,1,3,37,14,IT Support,MA,7/18/1988,F,1/5/2015,IT/IS
"Gonzalez, Maria",1988299991,0,3,39,14,IT Support,MA,4/16/1981,F,1/5/2015,IT/IS
"Merlos, Carlos",1012023013,0,3,43,15,Network Engineer,MA,6/18/1987,M ,3/30/2015,IT/IS
"Morway, Tanya",1001956578,1,3,27,15,Network Engineer,MA,4/4/1979,F,2/16/2015,IT/IS
"Shepard, Anita ",906014183,1,3,47,15,Network Engineer,MA,4/14/1981,F,9/30/2014,IT/IS
"Tredinnick, Neville ",1104025466,1,3,28,15,Network Engineer,MA,5/5/1988,M ,1/5/2015,IT/IS
"Turpin, Jumil",1411071506,1,3,49.1,15,Network Engineer,MA,3/31/1969,M ,3/30/2015,IT/IS
"King, Janet",1001495124,1,2,80,16,President & CEO,MA,9/21/1954,F,7/2/2012,Executive Office
"Albert, Michael  ",1501072311,0,5,54.5,17,Production Manager,MA,10/10/1968,M ,8/1/2011,Production       
"Bozzi, Charles",1303054580,0,5,50.5,18,Production Manager,MA,3/10/1970,M ,9/30/2013,Production       
"Butler, Webster  L",1110029990,0,5,55,18,Production Manager,MA,8/9/1983,M ,1/28/2016,Production       
"Dunn, Amy  ",1409070147,0,5,51,18,Production Manager,MA,11/28/1973,F,9/18/2014,Production       
"Gray, Elijiah  ",1307060077,0,5,54,18,Production Manager,MA,7/11/1981,M ,6/2/2015,Production       
"Hogland, Jonathan ",1001944783,1,5,48.5,18,Production Manager,MA,7/1/1972,M ,1/10/2011,Production       
"Immediato, Walter",1403065874,1,5,42,18,Production Manager,MA,11/15/1976,M ,2/21/2011,Production       
"Liebig, Ketsia",1103024679,1,5,55,18,Production Manager,MA,10/26/1981,F,9/30/2013,Production       
"Miller, Brannon",1107027351,0,5,53,18,Production Manager,MA,8/10/1981,M ,8/16/2012,Production       
"Peterson, Ebonee  ",1402065355,1,5,38.5,18,Production Manager,MA,5/9/1977,F,10/25/2010,Production       
"Spirea, Kelley",1102024149,1,5,52,18,Production Manager,MA,9/30/1975,F,10/2/2012,Production       
"Stanley, David ",1000974650,0,5,53,18,Production Manager,MA,12/17/1975,M ,7/20/2010,Production       
"Sullivan, Kissy ",1405067298,1,5,55,18,Production Manager,MA,3/28/1978,F,1/8/2009,Production       
"Wallace, Courtney  E",1410071026,1,5,33.5,18,Production Manager,MA,11/14/1955,F,9/26/2011,Production       
"Anderson, Linda  ",1304055947,0,5,23,19,Production Technician I,MA,5/22/1977,F,1/9/2012,Production       
"Bernstein, Sean",1109029366,0,5,16,19,Production Technician I,MA,12/22/1970,M ,4/2/2012,Production       
"Chivukula, Enola",1101023394,0,5,21,19,Production Technician I,MA,8/27/1983,F,6/27/2011,Production       
"Desimone, Carl ",1501072124,1,5,20,19,Production Technician I,MA,4/19/1967,M ,7/7/2014,Production       
"Fernandes, Nilson  ",1302053339,1,5,18,19,Production Technician I,MA,10/18/1989,M ,5/11/2015,Production       
"Girifalco, Evelyn",1204032927,0,5,16,19,Production Technician I,MA,5/8/1980,F,9/29/2014,Production       
"Harrison, Kara",1404066622,1,5,20,19,Production Technician I,MA,5/2/1974,F,5/12/2014,Production       
"Kirill, Alexandra  ",903013071,1,5,24,19,Production Technician I,MA,10/8/1970,F,9/26/2011,Production       
"MacLennan, Samuel",1201031032,0,5,15,19,Production Technician I,MA,11/9/1972,M ,9/24/2012,Production       
"Ndzi, Horia",1204033044,1,5,22,19,Production Technician I,MA,3/28/1983,M ,4/1/2013,Production       
"Perry, Shakira",1109029186,0,5,22,19,Production Technician I,MA,7/20/1986,F,5/16/2011,Production       
"Robinson, Alain  ",1206038000,1,5,24,19,Production Technician I,MA,1/7/1974,M ,1/10/2011,Production       
"Shields, Seffi",1205033102,1,5,15,19,Production Technician I,MA,8/24/1985,F,8/19/2013,Production       
"Theamstern, Sophia",1404066739,0,5,20,19,Production Technician I,MA,5/9/1965,F,7/5/2011,Production       
"Wilber, Barry",1101023839,1,5,21,19,Production Technician I,MA,9/9/1965,M ,5/16/2011,Production       
"Bachiochi, Linda",1212051409,0,5,22,19,Production Technician I,MA,2/11/1970,F,7/6/2009,Production       
"Billis, Helen",1308060366,1,5,16,19,Production Technician I,MA,9/1/1989,F,7/7/2014,Production       
"Clukey, Elijian",1407069280,1,5,24.75,19,Production Technician I,MA,8/26/1980,M ,7/6/2016,Production       
"DiNocco, Lily ",1209048696,1,5,22,19,Production Technician I,MA,12/2/1978,F,1/7/2013,Production       
"Fidelia,  Libby",1006020020,1,5,24,19,Production Technician I,MA,3/16/1981,F,1/9/2012,Production       
"Gonzalez, Cayo",1411071212,0,5,16,19,Production Technician I,MA,9/29/1969,M ,7/11/2011,Production       
"Ivey, Rose ",1408069882,0,5,16,19,Production Technician I,MA,1/28/1991,F,8/19/2013,Production       
"Kretschmer, John",1311062610,1,5,21,19,Production Technician I,MA,2/2/1980,M ,1/10/2011,Production       
"Mangal, Debbie",1308060754,1,5,23,19,Production Technician I,MA,11/7/1974,F,11/11/2013,Production       
"Ngodup, Shari ",1403066020,0,5,15,19,Production Technician I,MA,6/3/1967,F,4/1/2013,Production       
"Pham, Hong",1305057440,1,5,18,19,Production Technician I,MA,3/6/1988,M ,7/5/2011,Production       
"Robinson, Elias",1011022887,0,5,17,19,Production Technician I,MA,1/28/1985,M ,7/8/2013,Production       
"Sparks, Taylor  ",1410071137,1,5,16,19,Production Technician I,MA,7/20/1968,F,2/20/2012,Production       
"Tippett, Jeanette",1409070255,0,5,24,19,Production Technician I,MA,6/5/1967,F,2/18/2013,Production       
"Ybarra, Catherine ",1001268402,0,5,22,19,Production Technician I,MA,5/4/1982,F,9/2/2008,Production       
"Baczenski, Rachael  ",1307060083,1,5,17,19,Production Technician I,MA,1/12/1974,F,1/10/2011,Production       
"Brill, Donna",1406068293,1,5,20,19,Production Technician I,MA,8/24/1990,F,4/2/2012,Production       
"Cockel, James",1599991009,0,5,15,19,Production Technician I,MA,9/8/1977,M ,7/8/2013,Production       
"Dobrin, Denisa  S",1202031618,0,5,16.75,19,Production Technician I,MA,10/7/1986,F,4/2/2012,Production       
"Garcia, Raul",1309061015,0,5,19,19,Production Technician I,MA,9/15/1985,M ,3/30/2015,Production       
"Gordon, David",1106026579,1,5,15,19,Production Technician I,MA,5/21/1979,M ,7/2/2012,Production       
"Jackson, Maryellen",1201031438,0,5,20,19,Production Technician I,MA,9/11/1972,F,11/5/2012,Production       
"Langton, Enrico",1304055987,1,5,17,19,Production Technician I,MA,12/9/1986,M ,7/9/2012,Production       
"Maurice, Shana",1401064327,1,5,20,19,Production Technician I,MA,11/22/1977,F,5/31/2011,Production       
"Nguyen, Lei-Ming",1203032357,0,5,19,19,Production Technician I,MA,7/7/1984,F,7/8/2013,Production       
"Pitt, Brad ",1001735072,0,5,17,19,Production Technician I,MA,11/23/1981,M ,11/5/2007,Production       
"Rose, Ashley  ",710007555,0,5,17,19,Production Technician I,MA,12/5/1974,F,1/6/2014,Production       
"Squatrito, Kristen",1405067138,0,5,21,19,Production Technician I,MA,3/26/1973,F,5/13/2013,Production       
"Trang, Mei",1012023152,0,5,22,19,Production Technician I,MA,5/16/1983,F,2/17/2014,Production       
"Zima, Colleen",1211051232,0,5,15,19,Production Technician I,MA,8/17/1978,F,9/29/2014,Production       
"Alagbe,Trina",1011022883,1,5,21,19,Production Technician I,MA,9/27/1988,F,1/7/2008,Production       
"Beatrice, Courtney ",1403066194,0,5,22,19,Production Technician I,MA,10/27/1970,F,4/4/2011,Production       
"Chan, Lin",1305057282,0,5,19.5,19,Production Technician I,MA,2/12/1979,F,5/12/2014,Production       
"Darson, Jene'ya ",1001109612,1,5,15,19,Production Technician I,MA,11/5/1978,F,7/2/2012,Production       
"Evensen, April",1107027392,0,5,18,19,Production Technician I,MA,5/6/1989,F,2/17/2014,Production       
"Gerke, Melisa",1308060622,0,5,22,19,Production Technician I,MA,5/15/1970,F,11/7/2011,Production       
"Harrell, Ludwick",1406068241,1,5,21,19,Production Technician I,MA,9/2/1982,M ,5/14/2012,Production       
"Jung, Judy  ",1107027450,1,5,21,19,Production Technician I,MA,4/17/1986,F,1/10/2011,Production       
"Lydon, Allison",1101023353,1,5,20,19,Production Technician I,MA,10/22/1975,F,2/16/2015,Production       
"Motlagh,  Dawn",1102024121,0,5,15,19,Production Technician I,MA,7/7/1984,F,4/1/2013,Production       
"Panjwani, Nina",1109029531,1,5,18,19,Production Technician I,MA,5/1/1979,F,2/7/2011,Production       
"Rhoads, Thomas",1211050793,0,5,20,19,Production Technician I,MA,7/22/1982,M ,5/16/2011,Production       
"Sander, Kamrin",1302053362,1,5,21,19,Production Technician I,MA,7/10/1988,F,9/29/2014,Production       
"Sutwell, Barbara",1407069061,0,5,14,19,Production Technician I,MA,8/15/1968,F,5/14/2012,Production       
"Wallace, Theresa",1101023619,0,5,15,19,Production Technician I,MA,8/2/1980,F,8/13/2012,Production       
"Barone, Francesco  A",1101023679,0,5,16.76,19,Production Technician I,MA,7/20/1983,M ,2/20/2012,Production       
"Carey, Michael  ",1311063114,0,5,20,19,Production Technician I,MA,2/2/1983,M ,3/31/2014,Production       
"Cornett, Lisa ",1403066069,1,5,15.75,19,Production Technician I,MA,3/31/1977,F,1/5/2015,Production       
"Engdahl, Jean",1007020403,0,5,21.25,19,Production Technician I,MA,5/31/1974,M ,11/10/2014,Production       
"England, Rex",1101023612,1,5,21,19,Production Technician I,MA,8/25/1978,M ,3/31/2014,Production       
"Gaul, Barbara",1105026041,0,5,24,19,Production Technician I,MA,12/2/1983,F,5/16/2011,Production       
"Gross, Paula",1103024859,0,5,14,19,Production Technician I,MA,5/21/1983,F,2/21/2011,Production       
"Jhaveri, Sneha  ",1412071713,0,5,19,19,Production Technician I,MA,4/13/1964,F,1/6/2014,Production       
"LeBel, Jonathan  R",1107027575,0,5,15,19,Production Technician I,MA,10/18/1981,M ,2/21/2011,Production       
"Meads, Elizabeth",1409070245,0,5,14,19,Production Technician I,MA,5/30/1968,F,4/2/2012,Production       
"Osturnka, Adeel",1404066949,1,5,16,19,Production Technician I,MA,12/11/1976,M ,9/30/2013,Production       
"Punjabhi, Louis  ",1401064562,0,5,16,19,Production Technician I,MA,6/19/1961,M ,1/6/2014,Production       
"Saar-Beckles, Melinda",1410070998,0,5,20,19,Production Technician I,MA,6/6/1968,F,7/4/2016,Production       
"Stoica, Rick",1106026896,1,5,22,19,Production Technician I,MA,3/14/1985,M ,2/17/2014,Production       
"Volk, Colleen",1011022814,1,5,21,19,Production Technician I,MA,6/3/1986,F,9/26/2011,Production       
"Athwal, Sam",1301052124,0,5,22,19,Production Technician I,MA,2/18/1983,M ,9/30/2013,Production       
"Biden, Lowan  M",1412071844,0,5,22,19,Production Technician I,MA,12/27/1958,F,8/19/2013,Production       
"Cierpiszewski, Caroline  ",1012023295,0,5,22,19,Production Technician I,MA,5/31/1988,F,10/3/2011,Production       
"Dickinson, Geoff ",706006285,0,5,21,19,Production Technician I,MA,11/15/1982,M ,5/12/2014,Production       
"Ferreira, Violeta",803009012,0,5,23,19,Production Technician I,MA,6/10/1986,F,2/20/2012,Production       
"Gold, Shenice  ",1408069539,0,5,17,19,Production Technician I,MA,6/18/1992,F,11/11/2013,Production       
"Heitzman, Anthony",1002017900,0,5,19,19,Production Technician I,MA,1/4/1984,M ,8/13/2012,Production       
"Knapp, Bradley  J",1304055683,0,5,14,19,Production Technician I,MA,11/10/1977,M ,2/17/2014,Production       
"Mahoney, Lauren  ",1209049259,0,5,17,19,Production Technician I,MA,7/7/1986,F,1/6/2014,Production       
"Newman, Richard ",1302053044,1,5,21,19,Production Technician I,MA,4/8/1977,M ,5/12/2014,Production       
"Peterson, Kayla ",1307059944,1,5,17,19,Production Technician I,MA,9/23/1973,F,4/26/2010,Production       
"Robinson, Cherly",1403065625,1,5,16,19,Production Technician I,MA,1/7/1985,F,1/10/2011,Production       
"Smith, Sade",1501071909,0,5,24.5,19,Production Technician I,MA,2/2/1965,F,11/11/2013,Production       
"Tinto, Theresa  ",1103024504,0,5,20,19,Production Technician I,MA,7/30/1983,F,1/10/2011,Production       
"Williams, Jacquelyn  ",1308060671,0,5,16,19,Production Technician I,MA,10/2/1969,F,1/9/2012,Production       
"Barbara, Thomas",1312063507,1,5,22,19,Production Technician I,MA,2/21/1974,M ,4/2/2012,Production       
"Bugali, Josephine ",1408069635,0,5,20,19,Production Technician I,MA,10/30/1969,F,11/11/2013,Production       
"Cole, Spencer",1001450968,0,5,15,19,Production Technician I,MA,8/12/1979,M ,7/11/2011,Production       
"Eaton, Marianne",1406067865,1,5,17,19,Production Technician I,MA,9/5/1991,F,4/4/2011,Production       
"Garneau, Hamish",1104025414,0,5,18,19,Production Technician I,MA,4/18/1980,M ,7/8/2013,Production       
"Goyal, Roxana",1312063675,1,5,24,19,Production Technician I,MA,10/9/1974,F,8/19/2013,Production       
"Jacobi, Hannah  ",1503072857,0,5,21,19,Production Technician I,MA,3/22/1966,F,9/30/2013,Production       
"Leach, Dallas",1408069409,0,5,19,19,Production Technician I,MA,1/17/1979,F,9/26/2011,Production       
"Mckenna, Sandy",909015167,1,5,24,19,Production Technician I,MA,1/7/1987,F,1/7/2013,Production       
"O'hare, Lynn",1206044851,0,5,18.5,19,Production Technician I,MA,9/30/1980,F,3/31/2014,Production       
"Power, Morissa",1102024274,0,5,19,19,Production Technician I,MA,10/15/1984,F,5/16/2011,Production       
"Purinton, Janine",1011022926,0,5,16,19,Production Technician I,MA,9/22/1970,F,9/24/2012,Production       
"Rossetti, Bruno",1405067492,0,5,18,19,Production Technician I,MA,3/18/1987,M ,4/4/2011,Production       
"Stanford,Barbara  M",1111030244,0,5,14,19,Production Technician I,MA,8/25/1982,F,1/10/2011,Production       
"Veera, Abdellah ",1203032235,0,5,19,19,Production Technician I,MA,1/31/1987,M ,8/13/2012,Production       
"Adinolfi, Wilson  K",1409070522,0,5,20,19,Production Technician I,MA,7/10/1983,M ,7/5/2011,Production       
"Barton, Nader",1212051962,0,5,18,19,Production Technician I,MA,7/15/1977,M ,9/24/2012,Production       
"Chace, Beatrice ",1208048062,0,5,16,19,Production Technician I,MA,1/2/1951,F,9/29/2014,Production       
"Crimmings,   Jean",1311063172,0,5,19.75,19,Production Technician I,MA,4/10/1987,F,7/6/2016,Production       
"Estremera, Miguel",1104025243,0,5,17,19,Production Technician I,MA,9/2/1983,M ,4/2/2012,Production       
"Gentry, Mildred",1501072192,1,5,19,19,Production Technician I,MA,10/1/1990,F,3/30/2015,Production       
"Handschiegl, Joanne",1405067064,1,5,24,19,Production Technician I,MA,3/23/1977,F,11/28/2011,Production       
"Johnson, George",1105025721,1,5,17,19,Production Technician I,MA,8/19/1959,M ,11/7/2011,Production       
"Keatts, Kramer ",1301052462,0,5,19,19,Production Technician I,MA,1/19/1976,M ,9/30/2013,Production       
"Linares, Marilyn ",1206042315,1,5,15.25,19,Production Technician I,MA,3/26/1981,F,7/5/2011,Production       
"Medeiros, Jennifer",1109029256,0,5,20,19,Production Technician I,MA,9/22/1976,F,3/30/2015,Production       
"Owad, Clinton",1103024335,0,5,22,19,Production Technician I,MA,11/24/1979,M ,2/17/2014,Production       
"Rarrick, Quinn",1208048229,0,5,21,19,Production Technician I,MA,12/31/1984,M ,9/26/2011,Production       
"Sadki, Nore  ",1308060535,0,5,21,19,Production Technician I,MA,12/21/1974,M ,1/5/2009,Production       
"Sullivan, Timothy",1201031310,1,5,19,19,Production Technician I,MA,10/7/1982,M ,1/5/2015,Production       
"Von Massenbach, Anna",1106026474,0,5,20,19,Production Technician I,MA,4/6/1985,F,7/5/2015,Production       
"Anderson, Carol ",1001417624,0,5,16,19,Production Technician I,MA,9/8/1989,F,7/11/2011,Production       
"Becker, Scott",1110029777,0,5,17,19,Production Technician I,MA,4/6/1979,M ,7/8/2013,Production       
"Chang, Donovan  E",1111030129,0,5,22,19,Production Technician I,MA,8/24/1983,M ,7/8/2013,Production       
"DeGweck,  James",1306058816,1,5,23.5,19,Production Technician I,MA,10/31/1977,M ,5/16/2011,Production       
"Ferguson, Susan",1502072511,1,5,20,19,Production Technician I,MA,4/14/1955,F,11/7/2011,Production       
"Gilles, Alex",1008020960,1,5,15,19,Production Technician I,MA,8/9/1974,M ,4/2/2012,Production       
"Harrington, Christie ",1110029602,0,5,19.75,19,Production Technician I,MA,8/18/1952,F,1/9/2012,Production       
"Kinsella, Kathleen  ",710007401,1,5,22,19,Production Technician I,MA,12/8/1973,F,9/26/2011,Production       
"Lynch, Lindsay",1001138521,0,5,19,19,Production Technician I,MA,2/14/1973,F,11/7/2011,Production       
"Ndzi, Colombui",1204033041,0,5,18,19,Production Technician I,MA,5/2/1989,M ,9/26/2011,Production       
"Pelech, Emil",1307060058,0,5,24,19,Production Technician I,MA,3/17/1988,M ,1/10/2011,Production       
"Rivera, Haley  ",1405067642,1,5,22,19,Production Technician I,MA,1/12/1973,F,11/28/2011,Production       
"Sewkumar, Nori",807010161,0,5,15.2,19,Production Technician I,MA,3/10/1975,F,9/30/2013,Production       
"Tavares, Desiree  ",1405067501,1,5,15,19,Production Technician I,MA,4/3/1975,F,4/27/2009,Production       
"Whittier, Scott",1307060212,0,5,23,19,Production Technician I,MA,5/24/1987,M ,1/10/2011,Production       
"Burke, Joelle",1011022820,0,5,25,20,Production Technician II,MA,3/2/1980,F,3/5/2012,Production       
"Fitzpatrick, Michael  J",1109029103,0,5,29,20,Production Technician II,MA,10/1/1981,M ,5/16/2011,Production       
"Huynh, Ming",1306058509,0,5,23,20,Production Technician II,MA,9/22/1976,F,2/21/2011,Production       
"Mancuso, Karen",1304055986,1,5,23,20,Production Technician II,MA,12/10/1986,F,7/5/2011,Production       
"Pelletier, Ermine",1202031821,1,5,28,20,Production Technician II,MA,7/18/1989,F,7/5/2011,Production       
"Trzeciak, Cybil",1107027551,0,5,22,20,Production Technician II,MA,3/15/1985,F,1/10/2011,Production       
"Cloninger, Jennifer",1012023226,1,5,25,20,Production Technician II,MA,8/31/1981,F,5/16/2011,Production       
"Gonzalez, Juan",1411071324,1,5,29,20,Production Technician II,MA,10/12/1964,M ,4/26/2010,Production       
"Johnston, Yen",1306057810,0,5,25,20,Production Technician II,MA,9/8/1969,F,7/7/2014,Production       
"Miller, Ned",1205033439,0,5,25,20,Production Technician II,MA,6/29/1985,M ,8/15/2011,Production       
"Petingill, Shana  ",1103024843,1,5,26,20,Production Technician II,MA,3/10/1979,F,4/2/2012,Production       
"Winthrop, Jordan  ",1405067188,0,5,29,20,Production Technician II,MA,11/7/1958,M ,1/7/2013,Production       
"Close, Phil",1209048697,1,5,26,20,Production Technician II,MA,11/25/1978,M ,8/30/2010,Production       
"Good, Susan",1001549006,1,5,24.25,20,Production Technician II,MA,5/25/1986,F,5/12/2014,Production       
"Langford, Lindsey",1010022030,0,5,22,20,Production Technician II,MA,7/25/1979,F,1/7/2013,Production       
"Monkfish, Erasumus",1404066711,1,5,27,20,Production Technician II,MA,8/17/1992,M ,11/7/2011,Production       
"Roberson, May",1402065340,0,5,26,20,Production Technician II,MA,9/5/1981,F,9/26/2011,Production       
"Wolk, Hang  T",1205033180,0,5,22,20,Production Technician II,MA,4/20/1985,F,9/29/2014,Production       
"Bondwell, Betsy",1008021030,0,5,26,20,Production Technician II,MA,1/16/1967,F,1/10/2011,Production       
"Faller, Megan ",1108028428,1,5,27,20,Production Technician II,MA,9/22/1978,F,7/7/2014,Production       
"Hunts, Julissa",1106026433,0,5,25,20,Production Technician II,MA,3/11/1984,F,6/6/2016,Production       
"Lunquist, Lisa",1001504432,0,5,26.1,20,Production Technician II,MA,3/28/1982,F,8/19/2013,Production       
"Nowlan, Kristie",1104025435,0,5,26.39,20,Production Technician II,MA,11/23/1985,F,11/10/2014,Production       
"Smith, Joe",1001970770,0,5,22,20,Production Technician II,MA,10/30/1963,M ,9/29/2014,Production       
"Tejeda, Lenora ",1406068345,1,5,28.75,20,Production Technician II,MA,5/24/1953,F,5/16/2011,Production       
"Beak, Kimberly  ",1303054329,1,5,27,20,Production Technician II,MA,4/17/1966,F,7/21/2016,Production       
